yyyymmdd,pool_code,race_no,wind
20211001,3,1,不明
20211001,3,2,不明
20211001,3,3,不明
20211001,3,4,不明
20211001,3,5,不明
20211001,3,6,不明
20211001,3,7,不明
20211001,3,8,不明
20211001,3,9,不明
20211001,3,10,不明
20211001,3,11,不明
20211001,3,12,不明
20211022,15,8,不明
20211022,15,9,不明
20211022,15,10,不明
20211022,15,11,不明
20211022,15,12,不明
20211023,1,6,不明
20211023,1,7,不明
20211023,1,8,不明
20211023,1,9,不明
20211023,1,10,不明
20211023,1,11,不明
20211023,1,12,不明
20211024,1,1,不明
20211024,1,2,不明
20211024,1,3,不明
20211024,1,4,不明
20211024,1,5,不明
20211024,1,6,不明
20211024,1,7,不明
20211024,1,8,不明
20211024,1,9,不明
20211024,1,10,不明
20211024,1,11,不明
20211024,1,12,不明
20211108,9,8,不明
20211108,9,9,不明
20211108,9,10,不明
20211108,9,11,不明
20211108,9,12,不明
20211201,9,1,不明
20211201,9,2,不明
20211201,9,3,不明
20211201,9,4,不明
20211201,9,5,不明
20211201,9,6,不明
20211201,9,7,不明
20211201,9,8,不明
20211201,9,9,不明
20211201,9,10,不明
20211201,9,11,不明
20211201,9,12,不明
20211201,15,1,不明
20211201,15,2,不明
20211201,15,3,不明
20211201,15,4,不明
20211201,15,5,不明
20211201,15,6,不明
20211201,15,7,不明
20211201,15,8,不明
20211201,15,9,不明
20211201,15,10,不明
20211201,15,11,不明
20211201,15,12,不明
20211208,9,1,不明
20211208,9,2,不明
20211208,9,3,不明
20211208,9,4,不明
20211208,9,5,不明
20211208,9,6,不明
20211208,9,7,不明
20211208,9,8,不明
20211208,9,9,不明
20211208,9,10,不明
20211208,9,11,不明
20211208,9,12,不明
20211217,14,12,不明
20211217,22,4,不明
20211217,22,5,不明
20211217,22,6,不明
20211217,22,7,不明
20211217,22,8,不明
20211217,22,9,不明
20211217,22,10,不明
20211217,22,11,不明
20211217,22,12,不明
20211225,14,8,不明
20211225,14,9,不明
20211225,14,10,不明
20211225,14,11,不明
20211225,14,12,不明
20211225,15,4,不明
20211225,15,5,不明
20211225,15,6,不明
20211225,15,7,不明
20211225,15,8,不明
20211225,15,9,不明
20211225,15,10,不明
20211225,15,11,不明
20211225,15,12,不明
20211226,10,10,不明
20211226,10,11,不明
20211226,10,12,不明
20211226,14,1,不明
20211226,14,2,不明
20211226,14,3,不明
20211226,14,4,不明
20211226,14,5,不明
20211226,14,6,不明
20211226,14,7,不明
20211226,14,8,不明
20211226,14,9,不明
20211226,14,10,不明
20211226,14,11,不明
20211226,14,12,不明
20211226,15,1,不明
20211226,15,2,不明
20211226,15,3,不明
20211226,15,4,不明
20211226,15,5,不明
20211226,15,6,不明
20211226,15,7,不明
20211226,15,8,不明
20211226,15,9,不明
20211226,15,10,不明
20211226,15,11,不明
20211226,15,12,不明
20211230,9,8,不明
20211230,9,9,不明
20211230,9,10,不明
20211230,9,11,不明
20211230,9,12,不明
20211230,15,7,不明
20211230,15,8,不明
20211230,15,9,不明
20211230,15,10,不明
20211230,15,11,不明
20211230,15,12,不明
20211231,9,1,不明
20211231,9,2,不明
20211231,9,3,不明
20211231,9,4,不明
20211231,9,5,不明
20211231,9,6,不明
20211231,9,7,不明
20211231,9,8,不明
20211231,9,9,不明
20211231,9,10,不明
20211231,9,11,不明
20211231,9,12,不明
20211231,14,1,不明
20211231,14,2,不明
20211231,14,3,不明
20211231,14,4,不明
20211231,14,5,不明
20211231,14,6,不明
20211231,14,7,不明
20211231,14,8,不明
20211231,14,9,不明
20211231,14,10,不明
20211231,14,11,不明
20211231,14,12,不明
20211231,15,1,不明
20211231,15,2,不明
20211231,15,3,不明
20211231,15,4,不明
20211231,15,5,不明
20211231,15,6,不明
20211231,15,7,不明
20211231,15,8,不明
20211231,15,9,不明
20211231,15,10,不明
20211231,15,11,不明
20211231,15,12,不明
20220104,3,10,不明
20220104,3,11,不明
20220104,3,12,不明
20220104,9,4,不明
20220104,9,5,不明
20220104,9,6,不明
20220104,9,7,不明
20220104,9,8,不明
20220104,9,9,不明
20220104,9,10,不明
20220104,9,11,不明
20220104,9,12,不明
20220106,3,10,不明
20220106,3,11,不明
20220106,3,12,不明
20220106,4,10,不明
20220106,4,11,不明
20220106,4,12,不明
20220111,15,4,不明
20220111,15,5,不明
20220111,15,6,不明
20220111,15,7,不明
20220111,15,8,不明
20220111,15,9,不明
20220111,15,10,不明
20220111,15,11,不明
20220111,15,12,不明
20220111,21,9,不明
20220111,21,10,不明
20220111,21,11,不明
20220111,21,12,不明
20220112,6,9,不明
20220112,6,10,不明
20220112,6,11,不明
20220112,6,12,不明
20220113,14,8,不明
20220113,14,9,不明
20220113,14,10,不明
20220113,14,11,不明
20220113,14,12,不明
20220113,15,1,不明
20220113,15,2,不明
20220113,15,3,不明
